text,label
"Maganda yung product, fast shipping, super sulit!",positive
"I love it, exactly as described, would buy again",positive
"Sobrang ganda ng quality, lalo na sa price",positive
"Highly recommend, fast delivery and great packaging",positive
"Solid build quality, masaya ako sa purchase ko",positive
"Excellent service from the seller, very responsive",positive
"Ok lang naman, walang masyadong pagkakaiba sa iba",neutral
"It's fine, nothing special, gets the job done",neutral
"Average product, hindi naman nakakadismaya",neutral
"Pwede na, hindi naman ako masyadong impressed",neutral
Mukhang ok pero medyo mahal para sa quality,neutral
"It works as expected, walang sorpresa",neutral
"Hindi gumagana, sayang ang pera ko",negative
"Terrible quality, broke after one week",negative
"Sira na nung dumating, ang sama ng packaging",negative
"Worst purchase, hindi worth it kahit konti",negative
"Defective unit, walang reply ang seller",negative
"Late delivery, wrong item, very disappointing",negative
